TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.092879819,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.116099773,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.139319728,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.162539683,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.185759637,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.208979592,-463.183,-10.4668,-4.47725,2.98402,0.601845,-1.44252,-5.42213,1.76429,-0.941735,1.41019,-0.0454767,1.95285,-0.305073,-2.78792,-2.32803,-1.16051,-0.787005,-0.262131,0.293929,-1.77456,1.07391
0.232199546,-416.111,11.5713,0.584438,8.37142,5.6954,0.992579,3.50359,3.13019,-1.00972,1.08599,-1.25913,-0.862909,0.577396,1.95269,2.13348,0.284183,4.03761,1.44379,0.667093,-0.843861,-1.48095
0.255419501,-399.533,13.1034,-3.92748,3.59824,5.49108,5.76523,1.20169,-0.0256135,4.23589,5.33768,2.64779,8.62953,6.64496,-0.22761,2.42436,1.04563,3.87737,0.30822,1.17283,2.37555,-2.05314
0.278639456,-322.769,25.418,-5.97786,9.09774,-0.368087,5.05002,-5.94643,-0.655281,-5.23055,-2.30633,-2.77906,0.446593,1.04342,-1.0184,2.98119,0.768632,5.0282,0.90348,1.17445,-2.92211,-0.221693
0.301859410,-251.235,26.0852,-2.52382,10.429,0.103686,4.58971,-9.13944,-4.22999,-7.43148,-1.46519,-3.29535,-0.839817,-2.26894,-1.40526,-3.46904,-1.24581,-3.01642,-0.768598,-3.80757,0.471397,-0.6996
0.325079365,-203.788,19.8497,2.46795,4.76602,-1.79,8.51125,-5.64177,3.09888,-3.13558,2.03916,-2.65857,-1.17704,-4.53617,-2.46482,-5.90959,1.09782,-1.38675,1.18643,-3.10832,-2.54764,-1.36669
0.348299320,-210.437,30.7659,-0.435834,8.6582,0.353869,12.0742,-4.18572,7.38241,-5.26861,4.8196,-6.16454,-0.339234,-6.71057,-3.05866,-4.88643,5.07725,0.597906,4.55533,-2.98142,-2.74261,-3.81097
0.371519274,-227.868,37.856,-8.91862,14.2278,-0.81735,10.65,-2.86991,3.9773,0.166983,3.12333,-5.24534,0.231773,-5.44688,-7.55277,-4.7068,5.55222,2.55915,2.82715,-2.78459,-2.96302,-2.80547
0.394739229,-233.324,34.9812,-6.97834,12.9763,2.59988,10.7906,-1.1514,8.0122,0.574907,2.05523,-5.52759,-2.12095,-7.3865,-8.85813,-5.98186,4.50743,3.04607,3.94737,-2.7478,-4.11455,-1.42407
0.417959184,-232.367,30.8535,-4.71883,9.3714,-1.16482,11.4165,-0.695677,6.74138,-1.10307,2.04495,-8.64654,-3.85426,-4.75854,-8.08526,-7.15601,4.92498,0.162574,6.59617,-3.55088,-3.66746,-0.53819
0.441179138,-232.434,32.7787,-2.82073,8.57486,-0.293298,12.0664,-0.32165,8.00678,-3.62735,2.5389,-6.83406,-3.80337,-4.6649,-6.03269,-5.6053,3.19601,0.228186,5.31316,-4.45023,-4.32455,-1.06766
0.464399093,-240.686,33.7105,-1.9261,5.68189,-0.915222,10.1238,-2.92229,7.27497,-2.98318,2.31562,-8.18493,-2.87491,-2.34149,-4.35556,-4.91945,3.45438,-1.85043,3.59731,-4.13206,-3.15105,-1.75137
0.487619048,-250.205,43.5767,-3.52453,6.04938,-0.103279,7.87018,-4.11348,8.08067,-7.35954,3.55999,-6.20451,-2.2373,-1.56748,-8.49801,-2.92007,1.70657,-3.59705,3.6405,-4.10912,-4.69983,0.505661
0.510839002,-264.624,52.5223,-9.5168,8.43345,-3.20883,7.73546,-3.66339,4.5722,-6.09409,-0.145504,-1.26108,-5.47086,-0.576061,-8.30109,-1.87368,-2.02585,0.0423455,0.242221,-1.9498,-6.61172,-1.50173
0.534058957,-276.582,60.6653,-8.19842,3.70612,1.75286,3.94752,-1.86201,4.16226,-5.60978,-3.38074,0.0058141,-6.61327,1.24912,-7.13125,-3.53618,-2.27681,0.260269,0.561756,-2.72914,-7.17126,-0.799201
0.557278912,-280.668,65.6858,-9.8171,-0.619512,7.406,-0.0626144,-1.69971,3.32263,-5.3627,-3.62478,-1.03498,-3.56381,-1.16184,-7.31159,-4.68536,-0.747485,1.99661,-1.76074,0.822337,-6.60791,-1.60248
0.580498866,-284.163,67.0861,-8.71023,-2.27871,7.54637,1.89115,-3.90651,1.71018,-2.63157,-3.29625,-4.05568,-2.01801,-1.50714,-10.5065,-4.76102,-1.117,1.96773,-0.891969,1.73728,-8.01989,-4.70072
0.603718821,-289.005,66.9448,-10.249,-2.72101,3.58547,-0.914618,-4.36352,-0.71872,-3.92005,-4.43269,-4.73789,-1.2762,-4.28106,-12.8898,-4.96344,-2.20954,1.68893,-3.71629,0.934457,-7.62064,-5.46778
