TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,19.9635,44.1394,49.3412,37.3155,11.0775,5.88053,39.525,89.5311,108.277,53.2152,1.66847,16.9316,39.8044,36.707,11.7687,15.5625,70.4433,109.245,162.64,207.754,134.894,28.9809,9.20869,36.4015,37.864,12.5013,24.4452,80.6649,103.046,70.0499,26.1723,3.5875,18.8182,46.9856,54.1089,40.3254,9.42146,24.0508,82.7874,79.7324,35.0415,5.62662,14.1842,91.3366,195.404,613.071,1537.96,2075.22,1524.25,609.8,117.53,2.18627,16.5701,38.9133,36.4031,33.9395,39.3375,35.8839,22.7624,14.9697,11.2186,3.60466,1.62333,9.68061,27.1379,49.5324,57.1808,47.3969,36.697,30.2453,28.6024,31.0388,26.4297,5.94206,11.7038,100.861,195.244,169.523,68.7774,8.07792,8.39775,21.8538,13.902,3.22121,11.0188,26.0729,30.651,25.8908,19.3648,8.32309,1.32808,6.54591,19.1935,43.628,59.6581,45.4894,35.1206,41.3058,48.3588,61.8822,84.1754,110.025,137.629,325.321,889.539,1470.36,1394.57,760.097,209.716,14.268,57.8707,143.969,149.533,120.982,92.39,38.0664,8.42209,4.65837,0.642695,8.57905,12.7691,10.5897,6.95843,32.0454,94.7709,110.084,56.789,14.8895,35.2516,102.49,125.339,54.0905,24.3052,83.268,92.7649,46.8632,29.1495,30.8578,16.7047,2.22704,6.68984,6.42699,6.6701,28.9849,44.8496,55.6818,67.4221,42.7332,13.7264,16.2572,45.4503,110.051,107.131,19.9449,19.5374,104.588,154.551,145.421,101.986,105.312,161.119,297.056,702.581,1127.55,1036,545.555,136.717,3.94952,78.2605,145.594,123.339,92.8206,59.161,19.6824,3.76057,3.7018,12.4001,14.0107,7.72518,1.72395,8.76787
1.486077098,22.4705,66.6064,41.9396,50.5248,11.6458,8.35602,33.6482,118.086,134.446,73.7852,10.9142,33.3501,39.0149,46.6842,15.4765,17.0844,114.381,208.18,320.2,347.106,173.11,31.2698,5.47182,47.6583,39.3852,11.4024,20.6707,105.157,114.504,81.9316,26.2892,1.74487,17.711,60.4426,55.3405,52.896,26.917,48.3346,117.805,99.4289,33.5151,6.42569,13.5986,119.111,177.141,664.381,2111.82,2965.95,2115.05,794.382,132.504,3.58133,22.0223,57.6882,33.3864,42.2764,48.2623,43.3437,33.5433,10.3494,20.9283,10.6666,3.73092,8.01618,45.2001,71.8987,83.9982,99.0264,74.9451,34.6707,40.7727,64.0172,43.7362,9.18162,12.3111,173.094,351.781,240.946,95.4139,26.2784,24.8234,28.1413,16.7168,2.09713,16.2666,34.999,31.9532,38.7196,18.5487,15.7979,9.2162,13.701,14.252,71.7667,106.266,80.2792,73.9267,77.8543,52.7024,87.8885,161.368,154.887,138.203,363.908,1139.7,2147.4,1893.06,919.316,268.527,2.17381,63.9855,162.66,187.132,104.53,131.296,40.9006,7.04269,7.1744,1.58629,12.6806,19.3864,8.8267,16.1115,67.1328,152.655,147.392,90.1936,35.1914,51.9205,137.807,189.728,62.8135,16.1623,120.514,148.239,87.1015,55.0535,48.186,27.3704,8.13694,13.7304,7.21477,5.70361,34.7967,47.2222,55.9799,77.0768,52.3596,6.58082,16.7655,38.4042,147.169,153.912,42.1842,42.7925,147.529,180.798,207.558,179.436,170.187,200.2,293.15,863.7,1531.62,1309.09,677.608,163.192,0.0853726,92.0269,195.169,124.776,107.845,89.899,24.4861,5.38147,2.28371,18.3764,23.4195,3.07191,6.22522,14.3741
2.972154195,23.1494,122.551,15.6124,84.7024,28.748,24.0182,11.6012,175.004,129.133,84.58,51.3791,78.3005,19.7461,69.6928,33.4208,37.0287,140.696,297.831,553.766,516.682,163.253,42.4195,8.09924,68.1661,24.6644,17.3337,21.4719,133.118,95.4744,93.92,22.6578,1.42106,14.1125,77.8694,41.7126,63.3871,58.4998,80.0267,137.022,115.269,25.3196,8.44092,19.5543,144.907,127.751,633.795,2526.69,3686.98,2478,926.774,141.137,4.03608,26.1763,91.6904,19.2924,56.5122,56.4825,35.3699,62.4187,1.09541,46.4733,39.7632,13.1016,3.90067,89.6581,89.7091,80.773,192.11,158.184,22.8734,58.8949,139.977,58.4369,5.99936,10.7367,286.57,612.11,270.49,96.495,86.0885,79.0708,25.4142,21.8751,14.299,44.2798,49.8891,21.4405,76.4868,6.47108,34.598,45.7223,39.1712,2.71045,137.825,166.259,85.0317,126.141,158.335,38.196,112.391,312.877,177.682,112.962,372.58,1173.81,2872.06,2214.4,880.48,380.217,12.7338,62.9134,152.468,254.638,45.0617,207.742,46.6957,15.0352,10.9265,0.208926,21.1461,38.5012,1.11937,37.8966,142.115,208.666,147.373,137.768,67.3482,53.2126,163.599,263.979,70.4836,14.4555,147.521,207.827,130.982,77.921,65.786,38.0155,15.518,23.2416,11.5088,8.10587,37.6386,40.0338,51.2602,70.5118,67.6028,0.204569,20.9139,24.594,188.959,181.508,70.3843,83.6243,197.047,158.26,264.32,276.48,204.309,221.758,233.781,920.116,1889.51,1351.02,752.747,200.108,4.15185,79.8814,259.529,103.091,113.974,143.231,17.003,10.4832,1.91037,29.6828,55.3737,1.9162,29.3694,50.2253
4.458231293,54.0919,226.154,11.7258,154.102,89.4657,61.9649,5.75405,261.638,114.488,86.9,149.924,170.718,10.4527,120.229,83.2703,77.6443,137.308,354.124,825.477,705.755,113.317,62.0733,37.8157,102.559,5.0352,34.3937,43.1861,152.086,60.4434,98.7236,23.6705,2.36024,14.1209,99.7549,21.0262,73.495,98.4563,108.916,135.616,119.124,18.8943,10.1741,37.577,168.889,63.2089,547.97,2643.44,4066.87,2454.96,976.384,152.25,2.14635,38.6872,137.008,13.0076,80.735,74.3133,23.0796,118.457,13.6143,107.429,112.901,45.8169,20.7509,166.429,110.29,56.752,328.83,311.269,27.3349,111.972,274.535,82.7565,2.85255,25.8119,462.95,955.712,292.232,77.6888,216.302,206.928,43.844,53.4641,71.9156,123.801,86.4454,26.857,146.328,11.1557,81.8473,140.66,109.214,23.4248,259.844,236.111,57.6183,192.564,289.305,39.8138,163.967,549.273,207.324,96.6957,346.831,1018.33,3514.07,2283.27,667.055,526.53,84.7314,68.4292,142.091,366.02,2.71194,333.853,88.1518,44.5762,24.851,2.27694,43.0442,75.5988,4.4442,85.7761,267.641,253.186,108.45,197.462,107.294,38.6149,179.07,329.848,85.5589,21.7258,152.473,257.839,170.381,84.3264,81.2866,47.4264,18.6254,35.0111,23.7488,19.0254,34.0691,29.6615,40.5186,53.6587,83.9294,5.71881,32.1062,20.2813,229.097,177.448,95.5837,139.617,238.79,103.675,298.615,383.034,191.817,219.073,145.165,894.072,2118.88,1140.57,750.91,254.033,13.8501,54.5743,326.131,92.4654,127.2,229.787,11.0353,27.2213,15.3303,65.4691,122.689,32.7896,89.65,143.636
5.944308390,153.536,369.34,75.1597,270.598,212.951,125.452,42.457,364.595,131.762,107.501,321.828,310.562,50.4187,206.469,177.948,132.364,105.176,367.862,1064.82,894.237,62.7429,92.8575,109.924,152.999,2.58553,68.3291,93.9544,153.712,27.8573,89.5898,36.8306,7.56384,28.205,120.221,8.31787,81.4913,139.363,121.57,117.089,106.49,20.5698,14.5854,69.0578,180.486,14.1598,453.433,2388.87,4073.86,2003.66,955.948,163.486,1.01066,58.4269,196.031,31.0533,116.128,106.595,28.0612,213.647,80.4781,211.172,234.411,123.34,86.0448,269.806,134.776,36.1999,499.499,550.451,92.2426,221.603,456.992,143.969,17.1825,83.2022,688.635,1313.44,361.62,82.5574,427.963,417.541,129.138,144.531,212.5,276.525,159.362,72.6561,242.451,63.1283,177.33,314.77,246.036,117.54,431.275,314.882,18.561,271.219,457.963,98.3751,279.766,843.395,281.117,130.954,316.843,792.924,3969.1,2094.03,389.626,655.922,244.729,105.722,185.211,501.912,49.8018,514.34,200.276,103.753,53.8737,15.3604,85.8335,136.092,34.3918,159.265,434.243,296.787,55.2042,259.785,141.481,19.7441,185.624,372.386,105.943,37.4909,130.286,288.284,197.109,70.0859,91.9921,52.2548,17.3341,43.5767,50.9339,44.4209,23.4218,22.3071,26.3084,32.0516,98.3727,31.2788,52.5906,41.8713,258.84,142.584,110.238,193.954,264.305,43.6338,313.199,469.467,146.556,193.209,74.4457,840.15,2179.64,761.452,677.123,312.487,31.2867,30.5198,396.406,119.912,167.665,345.6,35.5864,70.2259,59.2272,135.949,225.54,120.917,203.858,295.728
7.430385488,344.724,479.775,204.3,456.545,424.021,196.035,100.439,463.862,234.232,201.882,543.068,446.095,155.298,344.924,320.067,173.485,66.1696,326.436,1226.6,1038.07,58.116,133.355,222.127,218.798,33.6258,115.337,165.113,148.198,6.4761,64.9305,62.6923,26.7706,71.9772,129.109,8.20932,82.888,188.89,97.9666,102.211,67.0347,40.5975,33.5516,118.807,147.714,9.62124,407.748,1770.25,3869.16,1225.67,938.867,148.66,0.140343,71.5347,302.359,91.7498,136.601,136.072,77.0298,394.78,231.435,312.394,353.546,276.907,247.326,382.11,135.243,29.6274,706.073,906.26,229.904,338.15,647.843,291.41,84.1434,201.216,863.406,1606.48,537.185,173.491,680.044,656.932,306.417,329.88,457.675,482.562,263.276,162.321,356.256,170.387,317.87,553.933,455.018,295.916,607.14,398.368,0.252521,368.493,620.184,218.233,461.475,1177.68,403.915,219.766,307.373,639.666,4225.45,1711.74,174.664,682.7,509.039,225.116,326.157,582.186,194.864,770.892,429.745,182.366,72.8153,37.7413,166.764,245.634,89.4283,209.74,611.791,396.666,40.7515,310.911,137.182,14.9593,211.27,386.03,106.034,73.391,77.9778,313.155,215.157,44.3776,96.5714,44.755,17.5509,42.6644,110.341,92.9959,10.056,16.0552,16.569,11.9846,115.138,68.0821,76.4515,95.3397,281.31,85.9881,112.435,219.708,276.502,8.02116,306.655,517.171,92.0499,163.184,51.3567,808.992,2082.59,367.203,570.575,334.773,58.2944,24.9049,488.52,195.482,224.218,455.418,130.002,169.082,149.828,216.706,321.98,285.517,404.864,467.61
8.916462585,621.533,498.343,348.595,736.107,711.998,247.603,145.104,560.562,425.594,389.462,778.191,523.629,289.904,538.684,505.351,174.053,38.9711,243.098,1304.8,1065.61,121.81,195.757,349.952,275.52,99.9248,178.895,226.432,141.583,1.09431,37.4424,86.4674,77.178,163.736,125.699,10.3236,96.8135,237.133,53.7471,85.6904,28.8256,67.5339,76.1917,190.6,79.2083,49.5353,424.323,1021.31,3573.95,479.943,914.673,128.903,0.504116,89.8192,441.971,229.703,136.494,137.9,217.866,700.059,465.574,351.78,440.219,509.523,504.681,480.117,111.114,47.0997,923.314,1384.65,441.281,381.299,810.307,565.292,233.085,340.581,913.834,1773.95,803.051,364.609,924.378,844.316,532.534,616.211,804.174,675.465,360.715,292.961,467.096,293.778,477.878,824.693,688.718,513.831,751.484,458.133,29.702,464.599,757.859,347.215,656.436,1528.4,572.819,298.227,333.243,721.958,4215.38,1326.67,49.7461,610.404,802.155,470.515,566.483,566.605,370.131,1116.01,806.267,259.718,65.7496,78.3802,297.266,393.153,165.944,215.313,747.034,603.149,140.054,356.972,89.518,45.2207,300.136,369.76,83.3458,130.545,27.5947,332.566,255.129,28.5152,108.49,26.7301,30.8197,51.272,219.365,161.516,8.32871,9.75858,10.4554,6.55068,130.907,106.727,89.4744,168.7,313.026,26.4017,105.569,199.687,289.751,10.2392,264.708,538.537,53.3068,134.099,79.9002,841.482,1842.72,129.298,442.81,316.835,79.4373,52.8187,618.068,318.693,253.079,535.3,314.742,329.748,279.468,280.599,378.301,494.961,688.429,627.541
10.402539683,931.327,432.594,442.364,1097.28,1049.46,258.879,161.444,642.2,636.286,657.662,988.778,494.881,417.598,761.093,686.077,154.051,21.6794,159.066,1315.04,940.434,231.244,297.794,448.605,294.168,194.003,254.328,240.652,139.943,17.5896,13.9225,106.086,165.285,293.235,138.622,5.80721,145.413,286.521,13.2534,62.4466,8.15204,84.3201,158.03,279.76,18.1644,124.333,467.657,471.624,3276.8,109.504,887.934,117.262,4.0205,117.113,580.622,455.927,138.373,123.816,503.568,1122.07,720.291,325.346,460.514,778.699,836.279,530.364,77.9965,87.524,1098.04,1932.53,728.92,302.737,943.563,957.035,449.372,442.153,834.971,1747.99,1099.62,624.889,1071.61,931.966,722.079,937.411,1217.34,798.679,389.636,462.807,541.526,365.401,649.736,1038.93,868.827,721.593,797.98,488.544,105.269,526.535,843.429,437.959,787.503,1831.95,794.326,294.396,385.767,1124.1,3899.83,1050.92,24.1275,451.801,1043.64,840.671,832.784,482.61,491.037,1501.1,1330.41,335.176,35.7499,152.386,447.897,539.804,259.237,167.228,818.147,922.266,401.429,410.099,37.145,130.005,459.291,363.294,51.4483,203.297,8.30766,341.279,333.553,59.6592,150.097,24.9955,72.5061,100.783,365.953,249.125,26.1991,6.30289,8.83972,14.7882,139.142,140.342,83.8042,238.427,363.904,0.540211,94.8743,153.898,306.104,36.8575,211.684,516.581,63.5429,113.248,121.329,916.675,1559.27,71.5098,312.99,282.649,77.6183,128.976,796.838,454.805,230.459,572.55,555.71,528.588,426.574,297.618,378.731,698.148,982.746,752.046
11.888616780,1187.55,323.659,461.515,1472.51,1377.2,246.672,153.309,690.715,767.249,945.888,1143.93,362.431,515.21,956.587,787.179,147.96,15.4562,124.864,1274.08,697.252,339.411,434.831,479.806,269.12,286.784,325.628,203.025,137.348,52.7608,4.90636,127.464,283.208,419.286,185.213,7.04287,244.916,350.615,1.42694,40.0076,2.3867,82.8874,300.077,380.675,2.54282,212.807,496.204,293.308,3109.76,251.127,817.313,137.931,12.3047,161.189,677.301,709.576,193.499,147.482,949.688,1594.5,905.809,253.983,406.717,1015.33,1176.52,533.585,42.9966,134.417,1175.26,2450.08,1075.61,142.893,1065.11,1366.11,692.849,471.117,646.366,1546.03,1303.76,890.062,1057.33,895.916,802.362,1190.78,1606.16,836.661,326.127,642.704,573.601,336.51,820.716,1109.52,925.49,871.365,705.584,491.385,198.994,517.957,873.488,442.716,816.745,2024.2,1010.6,217.626,427.066,1738.9,3407.02,824.593,84.3629,249.191,1196.51,1276.21,1001.82,382.685,486.135,1876.99,1925.63,425.238,12.638,254.039,569.228,641.035,351.208,86.988,839.052,1290.4,788.105,495.864,31.0054,273.792,643.933,402.535,41.7235,291.916,32.7763,324.549,437.456,180.369,242.02,73.5774,150.427,197.698,518.857,343.707,66.4992,11.7489,11.9394,23.1668,142.214,163.627,59.1501,294.336,417.31,37.1786,93.7569,113.582,343.831,55.9355,173.53,448.957,114.017,107.349,134.723,977.399,1343.98,94.3811,228.983,254.939,62.4896,273.403,980.582,563.47,164.333,561.42,791.527,707.034,550.397,265.902,324.473,838.396,1195.63,815.009
