TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.00029786,0.00463085,0.0204923,0.0172327,0.011147,0.00394672,0.00255499,0.00203485,0.000792059,0.000483568,0.000340467,0.00132015,0.00412179,0.00564846,0.00161087,0.000970108,0.00271855,0.00306811,0.00154912,0.00200113,0.0107914,0.0128874,0.00762998,0.00581375,0.00635444,0.0022099,0.00155912,0.00221836,0.00140433,0.00198259,0.00578738,0.00981658,0.0179217,0.0329112,0.0222456,0.0042951,0.00428695,0.00213682,0.0026649,0.00750488,0.00766493,0.00264765,0.00946904,0.00442569,0.00561309,0.00420358,0.000725595,0.000665034,0.00144278,0.00378614,0.00813566,0.0024645,0.00803332,0.021952,0.0261567,0.0140655,0.00599054,0.00463848,0.00229959,0.00202706,0.00302487,0.00125268,0.00135251,0.00259706,0.00879635,0.0135712,0.00944481,0.00394329,0.00450093,0.0101549,0.0108891,0.00531287,0.00310922,0.00124426,0.00258101,0.0135793,0.0206054,0.00947502,0.000610083,0.00118819,0.00187478
1.486077098,0.000693208,0.00542074,0.0209562,0.0173269,0.0112482,0.00399674,0.00263624,0.00207737,0.00125794,0.00167499,0.0011673,0.00171643,0.00426114,0.0056999,0.0018615,0.00128406,0.00275927,0.00333565,0.00266784,0.00278155,0.011032,0.0129103,0.00791525,0.00626042,0.00655705,0.00222565,0.00209735,0.00355926,0.00201389,0.0042437,0.00770433,0.0100801,0.0179217,0.0329112,0.0222456,0.0042951,0.00475473,0.00460561,0.00367424,0.00761645,0.00804891,0.00357902,0.00995308,0.00443943,0.00620599,0.00756104,0.00263823,0.000984189,0.00679012,0.00520639,0.00836292,0.00263657,0.00806051,0.0222231,0.0262155,0.0142304,0.0128361,0.00919439,0.00310195,0.00279304,0.00452925,0.00137119,0.00239881,0.00609755,0.00972265,0.013689,0.00947604,0.00458799,0.0064616,0.0109162,0.0108891,0.00531649,0.00317039,0.00144206,0.0100453,0.0159723,0.0208764,0.0100524,0.00176187,0.00128691,0.00195232
2.972154195,0.000905857,0.00554994,0.0228067,0.0283216,0.0176638,0.0048007,0.00275973,0.00207737,0.00135642,0.00239218,0.0018579,0.001853,0.00480407,0.00694349,0.00679604,0.00468294,0.00351466,0.00415605,0.00337317,0.00304074,0.0113842,0.0132689,0.00823021,0.00727467,0.0065817,0.00222565,0.00210777,0.00361949,0.00212271,0.00458971,0.00771275,0.0101934,0.0185852,0.033021,0.0227059,0.00442087,0.00539861,0.0056583,0.00688634,0.0125641,0.00996207,0.00390205,0.0105751,0.00479909,0.00629579,0.00756104,0.00265045,0.00122316,0.00702588,0.00687796,0.0122497,0.00534087,0.0102076,0.0240041,0.0263384,0.0142604,0.0129895,0.00935609,0.00314217,0.00279742,0.00453328,0.00137129,0.0024893,0.00680325,0.0104915,0.0138435,0.00950413,0.00460255,0.0064655,0.0109838,0.0110422,0.00547735,0.00346032,0.00219698,0.0154684,0.0310452,0.0231143,0.0101185,0.00179257,0.00137837,0.00199771
4.458231293,0.00218157,0.00556129,0.0232091,0.0284048,0.0176638,0.00503271,0.003156,0.00209552,0.00163293,0.0026068,0.00192272,0.00207162,0.00521026,0.00715225,0.00679612,0.00473016,0.00363591,0.00617021,0.00839783,0.00640586,0.0114648,0.0132689,0.00825685,0.00731934,0.00684134,0.00321847,0.00388783,0.00404339,0.00269411,0.00480604,0.00786261,0.0109257,0.0200783,0.0338285,0.0227958,0.00443896,0.00550955,0.00598617,0.00738703,0.0130837,0.00996212,0.00394878,0.0106897,0.0048651,0.00629579,0.00756104,0.00276428,0.00180993,0.00851041,0.00816435,0.0133019,0.00783033,0.0127408,0.0258309,0.0271186,0.0143683,0.0129966,0.00966096,0.00340174,0.00282464,0.00463001,0.00142852,0.00265735,0.00693461,0.010534,0.0138462,0.00979123,0.00479692,0.00648684,0.0110466,0.0112334,0.00569005,0.00364036,0.00221657,0.0154699,0.0310835,0.0233652,0.010452,0.00179257,0.00157779,0.0024995
5.944308390,0.00227988,0.00686848,0.0245633,0.0289905,0.0190211,0.00667969,0.00332633,0.00213568,0.00174393,0.00270066,0.00198405,0.00432509,0.00546888,0.00740304,0.00811577,0.00589892,0.00404655,0.00651609,0.00869832,0.00647615,0.0118325,0.01419,0.0087964,0.00789834,0.00741166,0.00331995,0.00399806,0.00554463,0.00361696,0.00575782,0.00951712,0.0127111,0.0214942,0.0348132,0.0234343,0.00454263,0.00643216,0.00705863,0.00771104,0.0132671,0.0113162,0.00430742,0.0109195,0.00502567,0.00650691,0.00767317,0.00319798,0.0025408,0.00912985,0.0082733,0.0136271,0.00859999,0.0132093,0.0262167,0.0277891,0.01571,0.0151419,0.0114171,0.0039475,0.00295118,0.00867591,0.00513423,0.00288566,0.00693461,0.0105559,0.0143921,0.0131421,0.00910693,0.00820663,0.0111297,0.0112334,0.00569005,0.0036537,0.00315206,0.0159828,0.0312462,0.0235483,0.010535,0.00185481,0.00339722,0.00524143
7.430385488,0.00243858,0.0073843,0.0246955,0.0290409,0.0190656,0.0068631,0.00371981,0.00242104,0.00247704,0.00324499,0.00209958,0.00488743,0.00620987,0.0080624,0.00895188,0.00616141,0.00442528,0.00686988,0.00887602,0.00673053,0.0120751,0.0142959,0.00880346,0.00821423,0.00846748,0.00437453,0.00439609,0.00589759,0.00431044,0.00647069,0.00985304,0.0127713,0.0215136,0.0349201,0.0235394,0.004568,0.00643216,0.00705863,0.00778405,0.0135747,0.0118528,0.00491978,0.0119389,0.00598313,0.0068132,0.00780583,0.00337247,0.00267673,0.0092174,0.00841194,0.0137843,0.00896545,0.0137852,0.0268226,0.0286755,0.0168125,0.0159296,0.0123189,0.00469966,0.00370905,0.00929482,0.00557121,0.00305324,0.00696023,0.0105608,0.0143921,0.0131421,0.00930118,0.00863774,0.0114252,0.0118375,0.00576461,0.00383551,0.00365252,0.0161805,0.0315001,0.0237506,0.0105629,0.00189572,0.00344192,0.00536091
8.916462585,0.00271157,0.00789212,0.0250338,0.0290752,0.0190898,0.00690647,0.00372081,0.00334863,0.006293,0.00893899,0.00568577,0.00553904,0.00642279,0.00877041,0.00940569,0.00616753,0.00459753,0.00744969,0.00940313,0.00683772,0.0123321,0.0150076,0.00934451,0.00848836,0.0100114,0.00550847,0.00439703,0.00592414,0.00450386,0.00722592,0.0111064,0.0127713,0.0216229,0.0349906,0.0236458,0.00477988,0.00648046,0.00718738,0.0092294,0.0171764,0.015495,0.00626923,0.0122563,0.00657154,0.0083698,0.00999827,0.00452742,0.0029231,0.00973094,0.00981005,0.0161949,0.0104633,0.0145437,0.027257,0.0288712,0.0168332,0.0160027,0.0126062,0.0050942,0.00402873,0.00946945,0.00569554,0.00327207,0.00712265,0.0105868,0.0145305,0.0132531,0.00946442,0.00865304,0.0114913,0.0133637,0.00779626,0.00488688,0.00420687,0.0168155,0.0317705,0.0239222,0.0110881,0.00245169,0.00372898,0.00672806
10.402539683,0.00276266,0.0113993,0.0390097,0.0413279,0.0206305,0.00701979,0.00411863,0.00365432,0.00635313,0.00894712,0.00603596,0.00557296,0.00698138,0.010204,0.00946739,0.00643246,0.00570481,0.00810309,0.00979883,0.00734801,0.0126533,0.0150733,0.00934451,0.00849534,0.0102277,0.00580538,0.00453416,0.00593124,0.00451814,0.00729002,0.0111858,0.0142544,0.0305148,0.0522323,0.0309243,0.00478567,0.00648046,0.00731371,0.009398,0.017205,0.0162332,0.00808312,0.01232,0.00658585,0.0083698,0.00999827,0.00453772,0.0032346,0.0102892,0.0104873,0.016811,0.0112203,0.0145437,0.027257,0.030029,0.0206646,0.0196851,0.0136451,0.00524923,0.00403332,0.00946945,0.00569554,0.00327207,0.00712265,0.0105868,0.0147561,0.013706,0.00965569,0.00890124,0.0116126,0.0133637,0.00779626,0.00488688,0.00420687,0.0168155,0.0319964,0.0242612,0.0112614,0.00303074,0.00402597,0.00673465
11.888616780,0.00283184,0.0115518,0.0399828,0.0414938,0.0206881,0.00708974,0.00430903,0.00398928,0.00667494,0.00921131,0.00664141,0.0059409,0.00710658,0.0102207,0.00963332,0.00672535,0.00575969,0.0090979,0.0305236,0.0152633,0.0129037,0.0157882,0.011677,0.010335,0.0102368,0.00598944,0.00523546,0.0059507,0.00451814,0.00729002,0.0111927,0.0144151,0.0305906,0.0522389,0.0311428,0.0062861,0.00648046,0.00731371,0.0493848,0.0738561,0.0320941,0.00808312,0.01232,0.00664357,0.00857321,0.010507,0.00528754,0.00400837,0.010694,0.0143364,0.016811,0.0115301,0.0150085,0.0275565,0.0303452,0.0324301,0.0265306,0.0138637,0.00524923,0.00515308,0.0102674,0.00583651,0.00330918,0.00728215,0.0109211,0.016088,0.0147257,0.00967669,0.00943966,0.0237345,0.0246495,0.00798987,0.00569255,0.00465817,0.0169498,0.0320049,0.0243466,0.0113494,0.00385972,0.00434602,0.00673774
